motif	kernel_size	num_regions	scan_len	num_scores	score_min	score_max	score_mean	score_median	score_std	hist_png
B-Box	22	918	979	1797444	-0.19375990331172943	0.3107873201370239	-6.241139635676518e-05	0.0010025260271504521	0.005713253282010555	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/B-Box_hist.png
Essrb	33	918	968	1777248	-0.020065169781446457	0.004720964003354311	-0.00010191643377766013	4.2490519263083115e-05	0.0005993199883960187	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Essrb_hist.png
Klf4	10	918	991	1819476	-0.18958525359630585	0.07744801789522171	0.0005349395796656609	0.001247564796358347	0.004582596477121115	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Klf4_hist.png
Klf4-long	20	918	981	1801116	-0.08818353712558746	0.036338016390800476	0.0005665490753017366	0.0009766467846930027	0.002726646838709712	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Klf4-long_hist.png
Nanog	9	918	992	1821312	-0.12610362470149994	0.07847382128238678	-0.0012525358470156789	-0.0006256764754652977	0.0030489929486066103	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Nanog_hist.png
Nanog-alt	15	918	986	1810296	-0.1296391487121582	0.052270665764808655	-0.0012101541506126523	-0.00045056716771796346	0.0033592076506465673	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Nanog-alt_hist.png
Oct4	10	918	991	1819476	-0.05188533663749695	0.028917934745550156	-0.00053029676200822	-0.0002742297074291855	0.0011240893509238958	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Oct4_hist.png
Oct4-Oct4	14	918	987	1812132	-0.08029795438051224	0.04939085990190506	-0.0013147679856047034	-0.000771893362980336	0.0021936020348221064	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Oct4-Oct4_hist.png
Oct4-Sox2	16	918	985	1808460	-0.1379566788673401	0.10699582099914551	-0.0017143975710496306	-0.0009791427291929722	0.003247849876061082	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Oct4-Sox2_hist.png
Sox2	16	918	985	1808460	-0.08390042185783386	0.05705232173204422	-0.0008688434609211981	-0.00038826942909508944	0.0022497186437249184	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Sox2_hist.png
Zic3	40	918	961	1764396	-0.10891792178153992	0.04652392864227295	-0.00045101752039045095	0.0001739577710395679	0.002951054135337472	05_genome_browser_BPNet/output/20_cwm_histograms/20_indv_plots/Zic3_hist.png
