region_name	chrom	start	end
bpnet_top_rank1	chr9	3002059	3003059
bpnet_top_rank2	chr9	3001633	3002633
bpnet_top_rank3	chr1	134534723	134535723
bpnet_top_rank4	chr8	86393525	86394525
bpnet_top_rank5	chr8	89003241	89004241
bpnet_top_rank6	chr9	31018381	31019381
bpnet_top_rank7	chr1	36985571	36986571
bpnet_top_rank8	chr8	43320349	43321349
bpnet_top_rank9	chr9	3002491	3003491
bpnet_top_rank10	chr8	48751664	48752664
bpnet_random_rank1	chr9	43765093	43766093
bpnet_random_rank2	chr1	140429008	140430008
bpnet_random_rank3	chr8	20593526	20594526
bpnet_random_rank4	chr1	80403208	80404208
bpnet_random_rank5	chr8	10665810	10666810
bpnet_random_rank6	chr9	57510219	57511219
bpnet_random_rank7	chr1	152070157	152071157
bpnet_random_rank8	chr8	20320868	20321868
bpnet_random_rank9	chr9	102961106	102962106
bpnet_random_rank10	chr8	125778604	125779604
