rank	subset	subset_rank	chrom	start	end	total_counts	peak_index
1	top	1	chr9	3002059	3003059	70797.0	265
2	top	2	chr9	3001633	3002633	61761.0	0
3	top	3	chr1	134534723	134535723	34757.0	568
4	top	4	chr8	86393525	86394525	25812.0	4050
5	top	5	chr8	89003241	89004241	22032.0	95
6	top	6	chr9	31018381	31019381	21733.0	911
7	top	7	chr1	36985571	36986571	21621.0	381
8	top	8	chr8	43320349	43321349	21462.0	423
9	top	9	chr9	3002491	3003491	19855.0	130
10	top	10	chr8	48751664	48752664	19384.0	366
11	random	1	chr9	43765093	43766093	1052.0	3576
12	random	2	chr1	140429008	140430008	3932.0	2328
13	random	3	chr8	20593526	20594526	949.0	2188
14	random	4	chr1	80403208	80404208	3495.0	1378
15	random	5	chr8	10665810	10666810	4532.0	4565
16	random	6	chr9	57510219	57511219	5453.0	1366
17	random	7	chr1	152070157	152071157	5847.0	312
18	random	8	chr8	20320868	20321868	6537.0	2147
19	random	9	chr9	102961106	102962106	1052.0	3592
20	random	10	chr8	125778604	125779604	1259.0	1361
